Name,Biography,Time in metropolitan France,Date of departure,Regions,Occupation
Camille Charles Le Clerc de Fresne,"Camille Charles Le Clerc de Fresne, a knight, embarked for the Windward Islands of the Antilles in 1780, was a major general on the island of Grenada, second in command in Saint-Christophe, a colonel of the regiment of Isle Bourbon from 1784, then governor in Pondicherry, then returned to France in 1793.",,1780,Caribbean;Bourbon;India,Official
Simon Etienne Dubreuil,"Simon Etienne Dubreuil moved to Isle of France in 1781: he was employed there in the armaments office and then in the general store office. He left Isle of France in 1782 to go to India where he worked as a brigade secretary. He was employed in the store in Trincomalee, then in the work of the fortifications in Pondicherry, before being sent to Mahé where he worked as a notary, king's attorney, and national commissioner.",,1781,Bourbon;India,Official
Jean Baptiste Dufaure de La Curatrie,"Jean Baptiste Dufaure de La Curatrie moved to Isle of France in 1781: he was employed there in the armaments office and then in that of the general store. He left Isle of France in 1782 to go to India as secretary of the Brigade. He was employed in the engineering accounting department for jobs in Pondicherry, then as a notary in Mahé.  He was second lieutenant in the national troops of Cayenne, and a lieutenant in the regiment of Port-au-Prince in Saint-Domingue in 1772/1773.",Yes,1781,Bourbon;India;Guyana;Caribbean,Military
Thomas Hauguet,"Thomas Hauguet was an employee in the offices in Saint-Domingue, then was a controller of the colonies in Senegal. He obtained a pension in 1781.",,1781,Caribbean;Senegal,Official
La Carrière,"La Carrière was a second lieutenant following the artillery of Isle of France and Isle Bourbon, then in Pondicherry starting in 1781.",Yes,1781,Bourbon;India,Military
Louis Richard,"Louis Richard, the king's naturalist, went to Cayenne in 1781, then spent time in the Windward Islands of the Antilles, and traveled to Martinique in 1788 to conduct botanical studies.",Yes,1781,Guyana;Caribbean,Other
Joseph Verret,"Joseph Verret was a resident of Louisiana, then an entrepreneur of the sugar mills in Saint-Domingue, and held a correspondence in 1781/1782.",Yes,1781,Louisiana;Caribbean,Other
Luneau de Villeson,"Luneau de Villeson, a clerk in Senegal, died in Martinique in 1782.",Yes,1782,Senegal;Caribbean,Official
Jean Baptiste Coutoy,"Jean Baptiste Coutoy, a native of Quebec, was a sailor aboard the vessel of the King le Souverain. He died in Martinique in 1782.",Yes,1782,New France;Caribbean,Other
Joseph Paul Augustin de Cambefort de La Motte-Bézat,"Joseph Paul Augustin de Cambefort de La Motte-Bézat was the captain of the Isle of France regiment in 1772, achieved the rank of major in 1776, then of first aide-major in 1778, then of lieutenant colonel in 1781, then of major in the regiment of Guadeloupe in 1782.  He was then lieutenant in the Guadeloupe regiment in 1785, and lieutenant in the Cap de Saint Domingue regiment in 1786.",Yes,1782,Bourbon;Caribbean,Military
Jean de Palerne,"Jean de Palerne began his service as second lieutenant in the Isle of France regiment in 1773, served as an aide major in the same island in 1775, then also as captain in the same island in 1777, arrived in India around 1782, and became a captain in the Pondicherry regiment.",Yes,1782,Bourbon;India,Military
Guillaume François Foin,"Guillaume François Foin was a soldier in the Pondicherry regiment, and died in Isle of France in 1782.",Yes,1782,India;Bourbon,Military
Thomas Doyon,"Thomas Doyon, from Quebec, was a poor bourgeois who died in Martinique in 1783.",Yes,1783,New France;Caribbean,Other
Irénée Bertry,Irénée Bertry was a missionary to Louisiana and Saint-Domingue before 1783.,Yes,1783,Louisiana;Caribbean,Missionary
Jean Pierre Delosmes-Desdodins,"Jean Pierre Delosmes-Desdodins was an adviser to the Superior Council of Pondicherry, a former Attorney General of the Superior Council of Isle of France, and an assistant to the Controller of the Navy before 1783.",Yes,1783,India;Bourbon,Official
​​Antoine Marie Joseph d 'Espinassy,"​​Antoine Marie Joseph d 'Espinassy arrived in Isle of France in 1783. He was a second  artillery lieutenant in Isle of France in 1783, then first lieutenant of the regiment of the royal body of artillery.  He was employed at Saint-Domingue in 1788 with a captain's commission, and became a general in 1797.",Yes,1783,Bourbon;Caribbean,Military
Louis Hazeur de Lorme,"Louis Hazeur de Lorme was born in Louisiana in 1746.  He was captain of the Guadeloupe regiment, then interim commander in Tabago in 1785, and 1754/1792.",Yes,1785,Louisiana;Caribbean,Military
Jean Baptiste Manent,"Jean Baptiste Manent was in the legion of Isle of France as a soldier from 1766, then as a lieutenant from 1772. In 1785, he was appointed captain commander of the Isle Bourbon regiment, then captain in 1785, then was incorporated into the Pondicherry regiment in 1789.",Yes,1785,Bourbon;India,Military
Louis Le Voyer,"Louis Le Voyer was a second lieutenant in the Pondicherry regiment from 1776, joined the Isle of France regiment from 1785, and became a lieutenant in 1788.",Yes,1785,India;Bourbon,Military
François Joseph Beillion,"François Joseph Beillion, a native of Franche-Comté, was a soldier of the Isle of France regiment in Pondicherry, and a deserter on trial in 1785.",Yes,1785,Bourbon;India,Military
Jean Mathieu Cuvilier,"Jean Mathieu Cuvilier, a native of the province of Liège, was a soldier in the Isle of France regiment, and was a deserter tried in Pondicherry in 1785.",Yes,1785,Bourbon;India,Military
Jean François Du Coudray,"Jean François Du Coudray, a native of Rennes, was a soldier in the Isle of France regiment, and a deserter tried in Pondicherry 1785",,1785,Bourbon;India,Military
Jean Maloeuvre,"Jean Maloeuvre, a native of Brittany, was a soldier in the Isle of France regiment, and was condemned as deserter in Pondicherry in 1785.",Yes,1785,Bourbon;India,Military
Paul Pichon,"Paul Pichon, a gunner in the Pondicherry regiment in 1785, died in the Isle of France hospital on October 22, 1791.",Yes,1785,India;Bourbon,Military
Louis Simonnet de Maisonneuve,Louis Simonnet de Maisonneuve was a captain of the Pondicherry and Isle of France regiments in 1785.,Yes,1785,India;Bourbon,Military
Louis Briffaud,"Louis Briffaud, a native of Auxerre, was a deserter of the Isle Bourbon regiment, and was tried in Pondicherry in 1786.",Yes,1786,Bourbon;India,Military
Gabriel Dubé,"Gabriel Dubé, a native of Canada, poor without help, died in Pointe-à-Pitre hospital, in Guadeloupe in 1787.",,1787,New France;Caribbean,Other
Gilbert,"Gilbert was a Creole slave born in Grenada around 1769.  He lived in Cayenne, and was freed by his master Lescalier (Balthazar) in 1787.",,1787,Caribbean;Guyana,Other
D'Ailleboust de Mantet,"D'Ailleboust de Mantet was a captain of the Pondicherry regiment, got married in Isle Bourbon, and quit in 1787.",Yes,1787,India;Bourbon,Military
Jean Ferrand,"Jean Ferrand, a native of Castres, was a gunner in the Isle of France regiment, and died in Pondicherry in 1787.",Yes,1787,Bourbon;India,Military
Pierre Louis Garrus de La Roque,"Pierre Louis Garrus de La Roque, a native of Paris, was a clerk of the Cayenne administration, and died in Martinique in 1787.",Yes,1787,Guyana;Caribbean,Official
Sylvain François Xavier Meinra de Golbéry,"Sylvain François Xavier Meinra de Golbéry was a captain in the Royal Corps of Engineers, and was employed in Gorée and Cayenne.  He left for Cayenne in 1787.",Yes,1787,Senegal;Guyana,Other
De Golbéry de Tirion,"De Golbéry de Tirion was a captain in the Royal Corps of Engineers, and was employed in Gorée and Cayenne.  He was an engineer in Senegal, and left for Cayenne in 1787.",Yes,1787,Senegal;Guyana,Other
Paul Thomas de Périndorge,"Paul Thomas de Périndorge was an advisor-assessor at the Superior Council of Isle Bourbon from 1787, an authorizing officer for Saint-Pierre and Miquelon around 1793, a consul in Baltimore in 1794, and arrived in Saint-Domingue in the revolutionary year VII , where he was the head of the regiment.",Yes,1787,Bourbon;Caribbean,Official
Pierre Dugas,"Pierre Dugas, a native of Anjou, was a cooper of Cayenne, in Port-Louis, Isle of France, and died in the hospital in 1788.",,1788,Guyana;Bourbon,Other
Jean Michel Enserman,"Jean Michel Enserman, a native of Alsace, was a soldier in the Pondicherry regiment, and died in Isle of France in 1788.",Yes,1788,India;Bourbon,Military
Olivier Forget,"Olivier Forget, a native of Vannes, was a sailor from Cayenne  Isle of France [???], and died in the hospital in 1788.",Yes,1788,Guyana;Bourbon,Other
Claude Fournier,"Claude Fournier, a native of Paris, was a soldier in the Pondicherry regiment, and died in Isle of France in 1788",Yes,1788,India;Bourbon,Military
Philippe Gonnet,"Philippe Gonnet, a native of Metz, was a soldier in the Pondicherry regiment, and died in Isle of France in 1788.",,1788,India;Bourbon,Military
Jean Louis Ménard,"Jean Louis Ménard, a native of Avranches, was a soldier in the Pondicherry regiment, and died in Isle of France in 1788.",,1788,India;Bourbon,Military
Jean Baptiste Auger,"Jean Baptiste Auger, a corporal in the Pondicherry regiment, died in Isle of France in 1788.",Yes,1788,India;Bourbon,Military
Antoine Bergeron,"Antoine Bergeron, a native of Limousin, was a sergeant in the Pondicherry regiment, and died in Isle of France in 1788.",Yes,1788,India;Bourbon,Military
Jean Baptiste Berth,"Jean Baptiste Berth, a native of Paris, was a soldier of the Pondicherry regiment, and died in Isle of France in 1788.",Yes,1788,India;Bourbon,Military
Paul Boudon,"Paul Boudon, a native of Nîmes, was a soldier in the Pondicherry regiment, and died in Isle of France in 1788.",,1788,India;Bourbon,Military
Louis Chrétien,"Louis Chrétien, a native of Anjou, was a grenadier in the Pondicherry regiment, and died in Isle of France in 1788.",Yes,1788,India;Bourbon,Military
Bernard Salz,"Bernard Salz was a soldier in the Pondicherry regiment, and died at the Royal Hospital of Isle of France on November 16th, 1788.",Yes,1788,India;Bourbon,Military
Vlieghe,"Vlieghe was a former militia captain, shipowner, and merchant in Cayenne and Saint-Domingue in 1788.",Yes,1788,Guyana;Caribbean,Military
Jean Baptiste Régis de Guyon,"Jean Baptiste Régis de Guyon was born in 1737 in Quebec, and served in Saint-Domingue and then as an infantry captain in Isle of France in year VI (Revolutionary calendar).",Yes,1797,New France;Caribbean;Bourbon,Military
Blaise Estoupan da Sain Jean,"Blaise Estoupan da Sain Jean worked as an attorney general in Senegal and in Pondicherry. He then became a councilor in Isle of France. 
Wood, Archipelago of Justice, pp. 154–55",,,Senegal;India;Bourbon,Official
Jean Daniel Dumas,"Jean Daniel Dumas served in New France during the Seven Years War. He then moved to the Mascarennes where he was the commander from 1766 to 1768, during the transfer of the islands to royal control. Wood, Archipelago of Justice, pp. 164–65",,,New France;Bourbon,Military
Pierre de Rigaud Marquis de Vaudreuil,"Pierre de Rigaud Marquis de Vaudreuil was born in Quebec in 1698. He was the governor of Trois-Rivières from 1733 to 1743 and the governor of Louisiana from 1742 to 1753. In 1755, he became the last governor-general of New France and capitulated to the British in 1760. He was the fourth son of Philippe de Rigaud de Vaudreuil, governor of New France from 1703 to 1725. His brother Joseph Hyacinthe pursued a military career and was the governor of Saint-Domingue from 1753 to 1757. His other brother François Pierre was also granted the office of governor of Trois-Rivières. Pierre de Rigaud Marquis de Vaudreuil died in Paris in 1778.",,,New France;Louisiana,Official
Jean-Baptiste-Martin d’Artaguiette-Diron,"D’Artaguiette had several siblings who joined him in Louisiana – one of them was Bernard Diron Dartaguiette, a military man who acted as commandant of Mobile in 1724, major in Illinois in 1734 and was sent to Saint-Domingue in 1739",,,Louisiana;Caribbean,Military
